NetID,Professor Name,Professor Description,Research Interest,Research Area,Research Topic
rakeshk,Rakesh Kumar,"Rakesh Kumar is an Associate Professor in the Electrical and Computer Engineering Department at the University of Illinois at Urbana Champaign with research and teaching interests in computer architecture, hardware design, and low power, trustworthy and error resilient computer systems. His research and teaching have been recognized through several best paper awards and best paper award nominations (IEEE MICRO Top Picks, ASPLOS, HPCA, CASES, SELSE, IEEE CAL), Stanley H Pierce Faculty Award, Mahatma Gandhi Pravasi Samman, Ronald W Pratt Faculty Outstanding Teaching Award, ARO Young Investigator Award, Arnold O Beckman Award, and UCSD CSE Best Dissertation Award. He previously served as a Co-Founder and Chief Architect at Hyperion Core, Inc, a microprocessor startup aimed at bringing polymorphous grid processor technology to the market. He often writes about issues at the intersection of technology, policy, and society -- his opinion columns frequently appear in leading newspapers and magazines. His technology and education advocacy has been recognized by a Nelson Mandela Leadership Award. Rakesh has a BS from IIT Kharagpur and a PhD from University of California at San Diego.  Our work spans all layers of the computing stack - circuits, architectures, compilers, systems, and applications. A typical member of my research  group is creative, hardworking, motivated, and ambitious. He/she has strong programming skills, with a background in circuits, CAD, or computer architecture. He/she is open to learning new skills and considers hard problems as particularly interesting. Students who do not fit the above profile are, in general, not good fits.  I am always looking for motivated and exceptional undergraduate students to join my group. Email rakeshk@illinois.edu if you want to do research in computer architecture. See our research/publications pages (http://passat.crhc.uiuc.edu) for a sampling of our research. Please attach your CV as well.","
Fault tolerance, reliability
Low power and complexity-effective designs
CAD/architecture interactions
Computer Architecture","
Computer architecture
Fault tolerance and reliability
Hardware systems",
jleburto,Jean-Pierre Leburton,"Current Position: Gregory Stilllman Professor of Electrical and Computer Engineering, UIUC Professor of Physics. UIUC Research Professor, Coordinator Science Laboratory, UIUC Research Professor, F. Seitz Material Research Laboratory, UIUC Research Professor, Micro and Nanotechnology Laboratory, UIUC Academic Experience: 2008- present       Professor of Physics, University of Illinois 2003- present       Gregory Stillman Professor of Electrical and Computer Engineering, University of Illinois 2000		Visiting Professor, Swiss Federal Institute of Technology, Lausanne, Switzerland  1992		Visiting Professor, University of Tokyo 1991-present    	Professor, University of Illinois 1987-1991	Associate Professor, University of Illinois 1983-1987	Assistant Professor, University of Illinois 1981-1983	Visiting Assistant Professor, University of Illinois Jean-Pierre Leburton received his Ph.D. from the University of Liege (Belgium) in 1978. He is a professor in the UIUC Department of Electrical and Computer Engineering and a research professor in the Coordinated Science Laboratory. He is also a full-time faculty member of the Computational Electronics Group in the Beckman Institute. Professor Leburton's expertise is the theory and simulation of nanoscale semiconductor devices and low-dimensional systems. His research focuses more specifically on transport and optical processes in semiconductor nanostructures such as quantum wells, quantum wires and quantum dots. Current research projects involve electronic properties of self-assembled dots for high performance lasers, single-electron charging and spin effects in quantum dots, modeling of nanocrystal floating gate flash memory devices, nanoscale Si MOSFET's and carbon nanotubes and graphene nanostructures. His research deals also with dissipative mechanisms involving electron-phonon interaction in nanostructures for mid- and far-infrared intra-band lasers. Approaches to these problems involve use of sophisticated numerical techniques such as Monte-Carlo simulation and advanced 3D self-consistent Schroedinger-Poisson model including non-equilibrium transport for full scale nanodevice modeling.In the last few years, he turned his interest toward the interaction between living systems and semiconductors to investigate programming and sensing biomolecules with nanoelectronics.","
Theory of Semiconductor Devices, Modeling and Simulation of Nanostructures, Electronic and Optical Properties of Heterostructures and Low Dimensional Systems, Transport in Quantum Structures and Carbon-based nanostructures, Electronic Properties, Charging Effects in Quantum Dots and Nanocrystals, Spin Effects in Nanostructures, Quantum computation and Quantum Information Processing, Nano-biotechnology.","
Advanced carbon-based materials and nanoscale devices
Bionanotechnology
Computational nanotechnology
Device modeling
Microelectronic and photonic device modeling
Modeling and simulation of laser systems
Nano-electronics and single electronics
Quantum nanostructures for electronics and photonics
Semiconductor electronic devices
Semiconductor lasers and photonic devices
Semiconductor materials
Sprintronics","
Beyond CMOS
Bioelectronics and Bioinformatics
Charge particle physics and engineering
Computational science and engineering
Genomics
Nanomedicine and bio-nanotechnology
Semiconductor devices and manufacturing"
mllee,Minjoo Lawrence Lee,,,,
xiuling,Xiuling Li,"Xiuling Li received her B.S. degree form Peking University and Ph.D. degree from the University of California at Los Angeles. Following post-doctoral positions at California Institute of Technology and University of Illinois, as well as industry experience at EpiWorks, Inc., she joined the faculty of the University of Illinois in 2007 as an Assistant Professor in the Department of Electrical and Computer Engineering. She was promoted to Associate Professor with tenure in 2012, and to Professor in 2015. Her research interests are in the area of nanostructured semiconductor materials and devices. She has published more than 138 journal papers and holds more than 20 patents. She is a Fellow of IEEE and APS. Her other honors and awards include NSF CAREER award, DARPA Young Faculty Award, and ONR Young Investigator Award. She served on the Board of Governors of the IEEE Photonics Society, and technical program committees of several international conferences. She is a Deputy Editor of Applied Physics Letters and serves as the Vice President of Finance and Administration of IEEE Photonics Society. Research positions available to highly motivated undergraduate students who have strong interests in semiconductor materials, processing, and devices, and firm commitment to research. Past undergraduate student researchers in professor Li's group have produced first-author papers, patents, and conference presentations. Interested students please contact Prof. Li with complete CV.","
Metalorganic chemical vapor deposition (MOCVD)
Compound semiconductor
nanotechnology
nanowires
nanoelectronics
photovoltaics
nanophotonics
metal-assisted chemical etching (MacEtch)
self-rolled-up membrane (S-RuM) nanotechnology
passive electronic components","
Lasers and optical physics
Microcavity lasers and nanophotonics
Microelectronics and Photonics
Nano-electronics and single electronics
Nano-materials
Nano-photonics
Nanotechnology
Photonic crystals
Plasma devices and plasma science
Semiconductor electronic devices
Semiconductor lasers and photonic devices
Semiconductor materials","
Beyond CMOS
Bioelectronics and Bioinformatics
Cyberphysical systems and internet of things
Electronics, Plasmonics, and Photonics
Energy
Micro & nanoelectromechanical M/NEMS integrated systems
Neuro-engineering
RF and microwave engineering
Semiconductor devices and manufacturing
Solar and renewable technology"
z-liang,Zhi-Pei Liang,,"
Pattern recognition, parameter estimation, and machine learning
Image formation theory and algorithms
Magnetic resonance imaging and spectroscopy","
Biomedical imaging
Machine learning and pattern recognition
Signal Processing",
liberzon,Daniel M Liberzon,,"
Uncertain and stochastic systems
Control with limited information
Nonlinear control theory
Switched and hybrid systems","
Control
Discrete-event, switched and hybrid systems
Nonlinear systems and control",
loganliu,Gang Logan Liu,,,,
yilu4,Yi Lu,,,"
Cloud computing
Coding theory and applications
Computer networking","
Computational science and engineering
Data science and analytics
Data/Information Science and Systems
Distributed computing and storage systems
Machine learning
Network science and engineering
Socio-technical systems and networking"
lumetta, Steven Lumetta,"If the MRI is funded, there are three positions for people to develop the instrument, and I intend to find postdocs to fill those positions.   The intent is to use the MRI as a catalyst for interdisciplinary research efforts around computational genomics, so these postdocs will be able to help with those efforts and participate in them part time (% for some of the positions ramps down later in the project based on assumption of moving part of their time over to research efforts).","
computational genomics, smartphone-based bioassays, optical network architecture, computer architecture, cluster computing, parallel computing, user-level communication, validation and reliability","
Software systems",
lyding,Joseph W Lyding,"After being recruited to Illinois in 1984 by John Bardeen to work on the 1D charge density wave problem Professor Lyding constructed the first atomic resolution scanning tunneling mi-croscope (STM) in the Midwestern United States and one of the earliest STMs in the US. He followed this by inventing an ultra-stable STM in 1987 that was patented (US Patent 4,841,148) and licensed by the University of Illinois to RHK and McAllister Technical Services. Lydings design has been copied worldwide and has also been included in major textbooks on surface science. In 1994 Professor Lyding developed a novel new STM-based nanofabrication scheme and achieved atomic resolution patterning of silicon surfaces through the selective desorption of hydrogen. This method was immediately recognized and copied worldwide with Lyding giving scores of invited and several plenary talks. His initial paper on the subject [Appl. Phys. Lett. 64, 2010 (1994)] has been cited 487 times. Lydings initial work uncovered the fact that there were two distinct physical phenomena associated the hydrogen desorption process. This led to collaboration with Dr. Phaedon Avouris at IBM who modeled these processes. Lyding was recognized with an IBM Partnership Award in 1996 which led to a further study of the desorption process with a cryogenic ultrahigh vacuum (UHV) STM constructed in Lydings lab. [Physical Review Letters [80, 1336 (1998), cited 221 times] and the development of feedback controlled lithography for single atom precision hydrogen desorption [Nanotechnology 11, 70 (2000), cited 208 times]. In 1995 Lyding discovered a giant isotope effect when hydrogen was replaced by deuterium on silicon surfaces, in an experiment suggested by Avouris. STM desorption studies showed that deuterium was two orders of magnitude more difficult to desorb than hydrogen. This was published in Chemical Physical Letters [257, 148 (1996)] and Surface Science [363, 368 (1996)] with 157 and 172 citations respectively. In a meeting with Professor Karl Hess, Lyding made the connection between the isotope effect he had observed in the STM experiments and the hydrogen-related hot-carrier degradation in CMOS transistors. Lyding proposed replacing hydrogen with deuterium in CMOS to see if the same isotope effect could reduce the degradation. Lyding and Hess worked with Dr. Isik Kizilyalli of Lucent to treat commercial CMOS chips in deuterium and their initial results showed a dramatic 50x reduction in hot-carrier degradation. Their first paper [Lyding, Hess and Kizilyalli, Appl. Phys. Lett. 68, 2526 (1996)] has been cited 367 times. This result was met with major publicity and was rapidly confirmed by industrial laboratories worldwide. Deuterium has been used in commercial production by several major chip manufacturers, most recently by Samsung, under license from the University of Illinois, for the ARM processors used in iPhone and iPad devices. In 1996 Lyding was called to Washington D.C. by Senator Bill Frist to present the deuterium result to a Senate conference forum on science and technology, exploring the unanticipated technology benefits of supporting fundamental research. In 2001-2002 Lyding began exploring carbon nanotubes on silicon as a potential hybrid approach to using nanotubes. Unfortunately, at that time there was no technique to integrate carbon nanotubes with clean, air sensitive surfaces. STM studies up until then relied on solution deposition of nanotubes onto inert gold surfaces. To circumvent this problem, Lyding developed a new method that he termed dry contact transfer (DCT) [Appl. Phys. Lett. 83, 5029 (2003), cited 84 times] in which nanotubes could be brought into a UHV environment and then directly stamped onto atomically clean surfaces. Lydings group published a number of papers between 2003 and 2007 using DCT to place nanotubes on silicon and III-V compound semiconductor surfaces. In these papers they noted a strong interaction between nanotube and substrate based on the relative alignment of the nanotube axis and substrate atomic row directions. Strong doping effects and nanotube bandgap changes were also observed, underscoring the detailed complexity of potential technological applications of carbon nanotubes. In 2007 Lyding extended the DCT method to the study of monolayer graphene on silicon and III-V substrates. His first paper on graphene [Nanotechnology 19, 015704 (2008)] was recognized as one of the most accessed papers in Nanotechnology for 2008. Unlike nanotubes, finite sheets of graphene have edges and it was predicted in 1996 that edges with the so called zigzag symmetry would exhibit a metallic edge state that should have a pronounced effect on transport through graphene quantum dots or nanoribbons. However, experiments didnt see this effect leading to postulation in the literature that nonuniformity and edge disorder were obfuscating the observation of edge effects. Through DCT of graphene on silicon Lyding and graduate student Kyle Ritter demonstrated for the first time the existence of the metallic zigzag edge state. Furthermore, they studied quantum size effects down to 2nm lateral graphene dimensions, an order of magnitude smaller than previous studies. This work was published in Nature Materials [8, 235 (2009), cited 505 times]. Lydings most recent work on graphene has demonstrated the admixture of graphene and substrate electron wavefunctions [Nano Lett. 10, 3446 (2010)], silicon-induced metallic states in semiconducting graphene quantum dots [Nano Lett. 11, 2735 (2011)], and that the copper (111) surface is the optimal copper surface for monolayer graphene growth [Nano Lett. 11, 4547 (2011), cited 156 times]. In 2006 Lyding invented a novel process for sharpening conductive probes down to sub-5nm radii. His method, Field-Directed Sputter Sharpening (FDSS), is based on ion sputtering of a biased probe. The probe bias establishes an inhomogeneous electric field at the tip apex that deflects the incoming ions and selectively sharpens the apex, which increases the field strength and enhances the effect. High performance STM and AFM tips with super hard coatings have now been demonstrated and Lyding is now the Chief Technical Officer of Tiptek, LLC, a new start-up company to commercialize this technology. The US Patent Office has issued FDSS patents (8,070,920 and 8,819,861). I have developed a new permanent course ECE 481 - Nanotechnology, which I offer every Spring semester. This course is offered with 3 hours credit for advanced undergraduate students and 4 hours of credit for graduate students. I also teach ECE 444 in which students fabricate silicon ICs in a unique laboratory facility. Carbon nanoelectronics, based on carbon nanotubes and graphene are being actively researched for future semiconducting device applications. To this end it is imperative to understand their interactions with technological substrates at the atomistic level. We have developed ultra-clean nanotube deposition and STM spectroscopic methodologies that achieve this level of understanding. Subtle effects are being seen for the first time and are being modeled with first principles theory and simulations.  Our group regularly involves undergraduate researchers in nanotechnology projects aimed at gaining an atomic level understanding of important phenomena that govern the development of nanoelectronic devices. Current projects involve the use of scanning tunneling microscopy (STM) to study carbon nanotubes, graphene and bonded silicon wafers. We are also involved in controlling the growth of carbon nanotubes.","
Carbon Nanotube Purification
Graphene Growth, Characterization and Device Fabrication
Ultra-Sharp Probe Fabrication
Integrating Graphene with Silicon and III-V Semiconductors
Chirally Pure Nanotube Growth
Dry Contact Transfer (DCT) Patterning on Nanostructures on Surfaces
Carbon Nanotube Purification
Oxide Silicon Interface Mapping
Cross-Sectional STM of Semiconductor Heterostructures
Atomically Precise Dopant Mapping
Deuterium Processing and Hot Electron Degradation in Semiconductor Devices
Growth of 3D silicon nanostructures
Carbon Nanotubes and Carbon Based Nanotechnology merged with Silicon and III-V Semiconductors
Silicon Based Molecular Electronics
STM-Based Nanolithography and Nanofabrication
Scanning Tunneling Microscopy and Spectroscopy","
Advanced carbon-based materials and nanoscale devices
Nano-electronics and single electronics
Nano-materials
Nanotechnology
Quantum nanostructures for electronics and photonics
Semiconductor electronic devices
Semiconductor materials","
Beyond CMOS
Bioelectronics and Bioinformatics
Electronics, Plasmonics, and Photonics
Energy
Nanomedicine and bio-nanotechnology
Quantum optics, cryptography, information, and computing
Semiconductor devices and manufacturing
Storage and conversion"
jmakela,Jonathan J Makela,"Prof. Makela earned his B.S. (1999) and Ph.D. (2003) degrees from Cornell University from the School of Electrical and Computer Engineering in Cornell's College of Engineering.  From 2002-2004 he was a post-doctoral research associate at the Naval Research Laboratory, researching in the Thermosphere-Ionosphere Research Applications group.  He joined ECE ILLINOIS' faculty in 2004 where he is currently a Professor.  He has received several awards for his research and teaching, including the 2011 Mac Van Valkenburg Early Career Teaching Award from the IEEE Education Society and the 2008 Zeldovich Medal form the international Committee on Space Research and Russian Academy of Sciences. Prof. Makela's research interests lie in multi-technique remote sensing of the Earth's upper atmosphere. He works with ground- and satellite-based instrumentation to study both the quiet-time and storm-time behavior of this region at low- and mid-latitudes. To accomplish this, his group develops, tests, and deploys suites of sensors to sites around the world.  These instruments include portable imaging systems, Global Navigation Satellite System (GNSS) receivers, and Fabry-Perot interferometers.  His research group is currently working on developing new techniques and algorithms to simultaneously analyze these multiple datasets to better understand the underlying electrodynamics of instability processes in the equatorial and mid-latitude ionosphere, as well as the physics coupling of the neutral atmosphere to the electrified plasma in the ionosphere.  They are also developing algorithms that will be used by NASA's Ionospheric Connection Explorer mission, which will study the upward coupling between the atmosphere and near-space environment. His groups work has implications for improving specification and forecasting of space weather, natural hazards warnings, improving distributed sensing techniques, and furthering our understanding of basic space plasma physics.","
Optical and radio remote sensing techniques from both ground- and satellite-based platforms.
Response of the Earth's ionosphere to geomagnetic storms.
Ionospheric physics, especially irregularities at low- and mid-latitudes and their effects on trans-ionospheric satellite signals.","
Atmospheric and ionospheric measurements
Atmospheric and ionospheric theory
Atmospheric waves
Electromagnetics and Optics
Radio and optical wave propagation
Remote Sensing","
Data science and analytics
Imaging science and systems
Sensing systems"
milenkov,Olgica Milenkovic,"The current research focus of our group is on  1) Developing new approaches for studying problems in bioinformatics and bioengineering using coding and information theory. In particular, we investigate fundamental questions pertaining to design methodologies for DNA microarrays with error- and quality-control features and DNA microarrays that utilize compressed sensing principles. 2) Providing a bridge between the theory of compressed sensing and superimposed coding; non-linear compressive sensing with quantization and fault-tolerant sensing algorithms. 3) Using coding and information theory to study problems such as RNA folding, reverse engineering of gene-regulatory networks, and cost-constrained genome reversal distances. 4) Constructing and analyzing codes on graphs and developing new methods for studying the combinatorial properties of random ensembles of low-density parity-check codes. Our studies mainly focus on the computational complexity of problems quantifying the error-floor phenomena. 5) Analyzing the connections between network coding, matroid theory, and algebraic coding theory. 6) Analyzing the average case complexity of algorithms in coding theory and computer algebra.","
Hypergraph clustering
DNA-Based Data Storage, Coding for DNA-Based Data Storage, String Reconstruction
Community Detection via Correlation Clustering
Social Sciences and Voting Theory
Rank aggregation
Compressive Sensing
Signal Processing
Information Theory
Constrained Coding
Error-Control Coding (Algebraic/Iterative)
Bioinformatics
Analysis of Algorithms","
Algorithms and computational complexity
Biosensors and bioelectronics
Coding theory and applications
Communications
Dynamic games and decision theory
Fault tolerance and reliability
Information theory
Random processes
Signal detection and estimation
Signal Processing
VLSI in communications","
Bioelectronics and Bioinformatics
Computational science and engineering
Data science and analytics
Data/Information Science and Systems
Distributed computing and storage systems
Genomics
Machine learning
Network science and engineering
Sensing systems
Socio-technical systems and networking"
soc1024,Andrew Edmund Miller,,,,
mitras,Sayan Mitra,"Sayan Mitra is an Associate Professor ofElectrical and Computer Engineering. His research interests include formal methods, distributed computing, and mathematics for rigorous engineering of systems. He holds a PhD from MIT (2007), MSc from theIISc, Bangalore, and undergraduate degree fromJadavpur University, Kolkata. He was a postdoctoral fellow atCalTech, and has held visiting faculty positions at Oxford University, Air Force Research Laboratory (Kirkland), and TUVienna. Sayan received the National Science Foundation'sCAREER Award,AFOSR Young Investigator Research Program Award,IEEE-HKN C. Holmes MacDonald Outstanding Teaching Award, Samsung Global Research Outreach Award, and several best paper awards.  ECE 584 Verification of Embedded Computing Systems ECE 598 Modeling and Verifying Embedded Computing Systems (Spring 2010); ECE 190 Introduction to computing Systems (Fall 2009, Fall 2010, Fall 2011); ECE 428/CS 425 Distributed Systems (Spring 2009, Spring 2012); ECE 598 SM1 Modeling and Verification of Real-time and Hybrid Systems (Fall 2008). The goal our research is to develop algorithms and software tools that enable the creation of reliable computing systems. Typical application domains include autonomous vehicles, traffic control systems, medical devices, control systems etc. We are looking for graduate students with background in CS theory (formal methods, logic, automata theory, algorithms) and/or control theory. Solid programming skills & other mathematical background (e.g. stochastic processes) would be a plus. As an graduate researcher you will develop new verification and synthesis algorithms, build tools, and perform experiments in using these tools on real systems.  We are looking for juniors/seniors with solid programming skills (E.g., C/C++, Java, Matlab) and who intend to go to grad school in one of the related research areas. Preference will be given to those who can commit to working at least 6-8 hours a week for a couple of semesters. You will work closely with one of the graduate students towards developing software tools or applying them to verify a systems. This typically leads to an undergraduate thesis or publishable work. Take a look at some of the research projects.","
Safe machine learning and autonomy
Formal verification and synthesis",,
pmoulin,Pierre Moulin,,"
Image and Video Processing, Machine Learning, Compression, Recognition, Statistical Signal Processing, Statistical Learning, Information Theory, Information Hiding, Security","
Information theory
Signal detection and estimation
Signal Processing
Watermarking and information forensics","
Autonomous Systems and Artificial Intelligence
Autonomous vehicular technology, UAVs
Cognitive computing
Computational science and engineering
Cyberphysical systems and internet of things
Cybersecurity and privacy
Data science and analytics
Data/Information Science and Systems
Decision science
Distributed computing and storage systems
Game theory
Human computer interactions
Imaging science and systems
Machine learning
Machine vision
Network science and engineering
Sensing systems
Smart infrastructures
Socio-technical systems and networking
Wearable and mobile computing"
dmnicol, David M. Nicol,"I aim to convey difficult material clearly, and challenge students to integrate concepts to solve new types of problems that follow immediately from the material covered. The study of large-scale systems encounters problems in representation, scalability, and behavior.  Project MOSES investigates such issues, particularly in the context of networking security. I have almost always had undergraduates working on my research team.  I support undergraduate summer interns.","
security policy and its analysis
parallel discrete-event simulation
fluid based modeling
mathematical modeling and analysis
security
public-key infrastructure",,
idoia,Idoia Ochoa,,,"
Adaptive signal processing
Algorithms and computational complexity
Coding theory and applications
Image, video, and multimedia processing and compression
Information theory
Machine learning
Machine learning and pattern recognition
Random processes
Signal detection and estimation","
Bioelectronics and Bioinformatics
Computational science and engineering
Data science and analytics
Data/Information Science and Systems
Genomics
Healthcare and medical technologies
Machine learning
Point-of-care diagnostics"
oelze,Michael L Oelze,"Professor Oelze is interested in teaching wave propagation, acoustics, ultrasonic imaging, electromagnetics, biomedical imaging and mentoring students in research activities. Professor Oelze's research deals with several aspects of ultrasound/tissue interaction including: cancer detection using quantitative ultrasound, ultrasound microscopy, bioeffects of ultrasound, ultrasound-based therapies and coded excitation. Professor Oelze is using quantitative ultrasound techniques to analyze ultrasonic backscatter for breast cancer and thyroid cancer detection and for detection and grading of fatty liver disease.  Professor Oelze has examined the effects of ultrasound on hemorrhaging of lung tissue. Dr. Oelze is also studying the use of very high frequency ultrasound for experiments in ultrasound backscatter microscopy. Dr. Oelze has been studying inverse scattering techniques to create tomographic reconstructions of the sound speed, density and attenuation of materials.  Dr. Oelze is researching means to estimate the concentration of ultrasound contrast agents in vivo from the backscattered signals.  Dr. Oelze has developed a novel coded excitation technique combined with pulse compression to double the bandwidth of an ultrasonic imaging system. The additional bandwidth can be used to improve spatial resolution, improve contrast resolution, and/or improve the estimation of scatterer properties. Dr. Oelze is also interested in using coded excitation to improve harmonic imaging in ultrasound. Dr. Oelze is working on a project involving ultrasound-activated microbubbles to enhance cancer therapy. Finally, Dr. Oelze is working on techniques to stage, monitor, and assess high-intensity focused ultrasound treatment of solid tumors. The technique is based on using quantitative ultrasound imaging to detect tissue changes due to temperature rise in tissues, and  assessing noninvasively the effects of thermal ablation and hyperthermia on tissues. Dr. Oelze is also interested in monitoring therapy in tumors and in novel ultrasonic therapies for cancer treatment. Several projects are available for undergraduate research including the use of coding schemes to enhance ultrasonic imaging capabilities, devising improved measurement and calibration techniques for ultrasonic imaging, and quantifying materials using ultrasound. Students involved in these research opportunities will learn to characterize and calibrate ultrasonic sources, process data, and develop important laboratory skills.","
Acoustic Communications
Ultrasound therapy
Coded Excitation and Ultrasound
Ultrasound Computed Tomography
Bioeffects of ultrasound
Treatment monitoring using ultrasound
Cancer diagnosis using ultrasound
Quantitative ultrasound imaging
Ultrasound backscatter microscopy","
Acoustics
Biomedical imaging
Biomedical Imaging, Bioengineering, and Acoustics","
Healthcare and medical technologies
Imaging science and systems
Machine learning
Medical imaging
Point-of-care diagnostics
Sensing systems"
sjp,Sanjay J. Patel,,"
Computer architecture, microarchitecture, high-performance and reliable computer systems, the implications of future generation applications and implementation technologies on systems design.","
Compilers
Computer aided design
Computer architecture
Hardware verification and testing
Image, video, and multimedia processing and compression
Logic design and VLSI
Operating systems
Parallel processing",
gpopescu,Gabriel Popescu,,,,
cradhak,Chandrasekhar Radhakrishnan,,,,
maxim,Maxim Raginsky,"Maxim Raginsky received the B.S. and M.S. degrees in 2000 and the Ph.D. degree in 2002 from Northwestern University, all in Electrical Engineering. He has held research positions with Northwestern, the University of Illinois at Urbana-Champaign (where he was a Beckman Foundation Fellow from 2004 to 2007), and Duke University. In 2012, he has returned to the UIUC, where he is currently an Associate Professor with the Department of Electrical and Computer Engineering and the Coordinated Science Laboratory. He also holds a courtesy appointment with the Department of Computer Science. Prof. Raginsky's interests cover probability and stochastic processes, deterministic and stochastic control, machine learning, optimization, and information theory. Much of his recent research is motivated by fundamental questions in modeling, learning, and simulation of nonlinear dynamical systems, with applications to advanced electronics, autonomy, and artificial intelligence.","
Deterministic and stochastic dynamical systems in machine learning, optimization, and control
Probability and stochastic processes
Statistical machine learning
Information theory","
Control
Decentralized and distributed control
Dynamic games and decision theory
Information theory
Machine learning and pattern recognition
Random processes
Stochastic systems and control","
Autonomous Systems and Artificial Intelligence
Data/Information Science and Systems
Decision science
Game theory
Machine learning
Network science and engineering"
ravaioli,Umberto Ravaioli,,,,
elyse,Elyse Rosenbaum,"Elyse Rosenbaum is the Melvin and Anne Louise Hassebrock Professor in Electrical and Computer Engineering at the University of Illinois at Urbana-Champaign. She received the Ph.D. degree in electrical engineering from University of California, Berkeley. She is the director of the Center for Advanced Electronics through Machine Learning (CAEML), a joint project of the University of Illinois, Georgia Tech and North Carolina State University. CAEML is an NSF Industry/University Cooperative Research Center (I/UCRC). Dr. Rosenbaums present research interests include component and system-level ESD reliability, ESD-robust high-speed I/O circuit design, compact modeling, mitigation strategies for ESD-induced soft failures, and machine-learning aided behavioral modeling of microelectronic components and systems. Dr. Rosenbaum has authored or co-authored nearly 200 technical papers. She has presented tutorials on reliability physics at the International Reliability Physics Symposium, the EOS/ESD Symposium, and the RFIC Symposium, and she has given invited lectures at many universities and industrial laboratories; recently she was the keynote lecturer for DesignCon 2017. From 2001 through 2011, she was an editor for IEEE Transactions on Device and Materials Reliability. She is currently an editor for IEEE Transactions on Electron Devices. Dr. Rosenbaum was the  General Chair for the 2018 IEEE International Reliabiity Physics Symposium. Dr. Rosenbaum has been a visiting professor at Katholieke Universiteit in Leuven, Belgium and National Chiao-Tung University in Hsinchu, Taiwan. She has been the recipient of a Best Student Paper Award from the IEDM, Outstanding and Best Paper Awards from the EOS/ESD Symposium, a Technical Excellence Award from the SRC, an NSF CAREER award, an IBM Faculty Award, and the ESD Associations Industry Pioneer Recognition Award. She is a Fellow of the IEEE. Research opportunities exist for students with interests in device physics, circuit design and electromagnetics. Students must have good communication skills and an electrical engineering background. Students who have completed some or all of ECE 441, 482 and 483 are potentially able to assist with some of our research. There may also be opportunities for students who have studied machine learning or statistical learning theory. Juniors and seniors only.",,"
Circuits
Device modeling
Digital integrated circuits
Integrated circuit reliability
Semiconductor electronic devices","
Electronic Design Automation
Machine learning
Semiconductor devices and manufacturing"
croy,Romit Roy Choudhury,"Romit Roy Choudhuryis aJerry Sanders III AMD Scholarand Professor of ECE and CS at the University of Illinois at Urbana Champaign (UIUC). He joined UIUC from Fall 2013, prior to which he was an Associate Professor at Duke University. Romit received his PhD in the CS department of UIUC in Fall 2006. His research interests are in wireless networking, mobile sensing, and mobile computing. Along with his students, he received a few research awards, including the 2017 ACM MobiSys Best Paper Award, the 2016 CS@UIUC Distinguished Alumni Award, the 2015 ACM Sigmobile Rockstar Award, the 2009 Hoffmann Krippner Award for Engineering Innovations, 2007 NSF CAREER Award, etc. Visit Romit's Systems Networking Research Group (SyNRG) athttp://synrg.csl.illinois.edu Romit's research interests are in wireless networking and protocol design mainly at the PHY/MAC layer, and in mobile computing at the application layer. In wireless networking, our research is focussed on exploiting physical layer (PHY) capabilities towards wireless protocol design, often on the software radio platforms. In mobile computing, we envision mobile smartphones (and emerging wearable devices) as a convergent platform for sensing, computing, and communications. Our goal is to integrate these three capabilities thereby enabling new classes of personal and collaborative applications and technologies.","
Wireless Networking, Mobile Computing, IoT, Mobile Sensing","
Cloud computing
Computer networking
Distributed algorithms
Networking and distributed computing
Wireless communication systems","
Autonomous vehicular technology, UAVs
Cyberphysical systems and internet of things
Cybersecurity and privacy
Data science and analytics
Distributed computing and storage systems
Human computer interactions
Network science and engineering
Robotics
Sensing systems
Smart infrastructures
Socio-technical systems and networking
Wearable and mobile computing"
whs,William H Sanders,,,,
